"Electricity generation sources, Uzbekistan, 2022",Value,Year,Units
"Coal",5639,2022,GWh
"Oil",675,2022,GWh
"Natural gas",61033,2022,GWh
"Hydro",6484,2022,GWh
"Solar PV",435,2022,GWh
