"Electricity final consumption by sector, Uzbekistan, 2022",Value,Year,Units
"Industry Sector",80627,2022,TJ
"Transport Sector",5043,2022,TJ
"Residential",62894,2022,TJ
"Commercial and Public Services",25831,2022,TJ
"Agriculture/Forestry",24887,2022,TJ
"Non-specified (Other)",4553,2022,TJ
