,Central,East,South,SouthWest,NorthWest
2035-01-01 00:00:00,6110.888240339744,4435.1677290236885,504.4567839547312,4238.480866014024,976.9478910006146
2035-01-01 01:00:00,6068.282152154831,4353.932332356647,490.78749860961005,4218.432785129832,916.4770016457156
2035-01-01 02:00:00,5975.220217900372,4308.4406083968415,484.7567774668953,4200.661349246876,874.850547573126
2035-01-01 03:00:00,6013.670369430546,4428.802830208217,488.9147728232568,4063.542730492975,891.1487528402795
2035-01-01 04:00:00,6023.338545799355,4483.10993357972,495.530067369444,4258.188299255489,895.5693383247133
2035-01-01 05:00:00,6126.686720862141,4913.854735845108,540.893935888282,4347.346684468964,953.8824622172626
2035-01-01 06:00:00,6384.259059577869,5119.409939672728,597.5063329996325,4578.498623915718,1105.4809282251151
2035-01-01 07:00:00,6687.073764178347,5127.271479445071,590.8875544538115,4564.608239204057,1280.9588688788886
2035-01-01 08:00:00,7124.825450318528,5290.030661024896,594.8152473124065,4607.824668272438,1347.052599621332
2035-01-01 09:00:00,7444.326629506724,5275.199176740793,583.2252636122057,4771.633750207772,1354.3069117059154
2035-01-01 10:00:00,7493.808556869542,5215.378133250603,586.2937369993485,4613.733011153102,1352.4530311542376
2035-01-01 11:00:00,7263.700434610936,5144.689540252177,571.5505724602982,4554.93357448202,1347.5286518326334
2035-01-01 12:00:00,7232.264964125019,5007.070032979754,575.153221073131,4679.455180068422,1305.701590328492
2035-01-01 13:00:00,7480.546829945454,5058.766472512928,592.0167254982983,4589.583512060447,1271.013941265211
2035-01-01 14:00:00,7434.024051482932,4999.909720299221,574.8755809981103,4560.75733081701,1301.4360466362657
2035-01-01 15:00:00,7310.568702396962,5238.146716786674,579.473960590796,4496.091071721613,1300.8301483657642
2035-01-01 16:00:00,7622.727465479669,5346.982707196382,618.4244603336733,4634.864624581563,1334.4608549013817
2035-01-01 17:00:00,7539.460873904828,5489.871983915296,652.5965523638469,4948.427941335682,1418.3745386185672
